stock_ticker,stock_name,curr_price,pred_low,pred_avg,pred_high,# of Analyst,% low/curr,% avg/curr,% high/curr
GD,General Dynamics,181.54,149.0,178.0,200.0,4,-17.92,-1.95,10.17
DOW,Dow Inc,63.99,50.0,65.63,80.0,10,-21.86,2.56,25.02
XEL,Xcel Energy,66.31,60.0,66.67,73.0,6,-9.52,0.54,10.09
DXCM,Dexcom,352.73,410.0,458.43,500.0,9,16.24,29.97,41.75
HCA,HCA Healthcare,191.07,180.0,196.55,205.0,11,-5.79,2.87,7.29
COP,Conocophillips,55.04,50.0,59.85,73.0,13,-9.16,8.74,32.63
EA,Electronic Arts,132.85,143.0,161.37,177.0,21,7.64,21.47,33.23
DOCU,DocuSign,201.96,210.0,277.44,300.0,10,3.98,37.37,48.54
VEEV,Veeva Systems,254.4,245.0,327.81,355.0,16,-3.69,28.86,39.54
WDAY,Workday,249.66,235.0,282.47,325.0,19,-5.87,13.14,30.18
GIS,General Mills,60.97,55.0,63.57,71.0,7,-9.79,4.26,16.45
LULU,Lululemon Athletica,314,364.0,415.91,453.0,11,15.92,32.46,44.27
EXC,Exelon,43.53,46.0,49.17,55.0,7,5.67,12.96,26.35
CMG,Chipotle,1445.48,1165.0,1643.7,2000.0,24,-19.4,13.71,38.36
ORLY,O'Reilly Auto,506.74,493.0,543.14,600.0,6,-2.71,7.18,18.4
SRE,Sempra Energy,132.14,139.0,147.0,174.0,8,5.19,11.25,31.68
EBAY,Ebay,60.83,54.0,70.59,84.0,20,-11.23,16.04,38.09
SBAC,SBA Communications,282.57,277.0,311.5,343.0,10,-1.97,10.24,21.39
PSA,Public Storage,244.59,231.0,249.25,264.0,5,-5.56,1.91,7.94
COF,Capital One Financial,129.59,115.0,136.6,154.0,10,-11.26,5.41,18.84
CNC,Centene,64.86,65.0,76.5,90.0,6,0.22,17.95,38.76
ROST,Ross Stores,122.36,120.0,129.0,135.0,6,-1.93,5.43,10.33
JCI,Johnson Controls,59.99,52.0,57.3,65.0,10,-13.32,-4.48,8.35
CSGP,CoStar Group,816.47,979.0,989.5,1000.0,3,19.91,21.19,22.48
STZ,Constellation Brands,235.31,219.0,252.23,276.0,14,-6.93,7.19,17.29
SPOT,Spotify Technology SA,261.31,200.0,354.2,450.0,18,-23.46,35.55,72.21
SYY,Sysco,80.63,70.0,80.2,89.0,4,-13.18,-0.53,10.38
CMI,Cummins,262.42,238.0,273.78,325.0,11,-9.31,4.33,23.85
WEC,WEC Energy Group,93.03,92.0,92.5,93.0,3,-1.11,-0.57,-0.03
